product_id,source_platform,collection_date,price_cny,sales_lower_bound,sales_is_censored,sales_observed,official_store_claimed,museum_name,museum_ip_flag,product_category,product_format,price_tier,title_length_chars,keyword_excavation,keyword_gift,keyword_collectible,cluster_id,interpreted_cluster_label
product_2d90fd25cc30,Hooos public Taobao/Tmall listing index,2026-08-29,60.2,60.0,False,True,False,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,3,Budget marketplace excavation kits
product_76739908a135,Hooos public Taobao/Tmall listing index,2026-08-29,368.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,High-end (>200 CNY),30,True,True,False,1,Official museum excavation kits
product_529f0bb96554,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,28.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),32,False,False,True,4,Premium museum figurines
product_b91d71142883,Hooos public Taobao/Tmall listing index,2026-08-29,60.7,41.0,False,True,True,Dunhuang,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),29,False,True,True,2,Broad museum collectible assortment
product_e12f71c13094,Hooos public Taobao/Tmall listing index,2026-08-29,67.5,17.0,False,True,True,Shandong Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),29,True,True,False,1,Official museum excavation kits
product_0c131654224f,Hooos public Taobao/Tmall listing index,2026-08-29,139.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Premium (101-200 CNY),31,True,True,True,1,Official museum excavation kits
product_5b47e5220146,Hooos public Taobao/Tmall listing index,2026-08-29,21.4,5.0,False,True,True,Dunhuang,True,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,5,Sales-visible character collectibles
product_f0ebd97726ed,Hooos public Taobao/Tmall listing index,2026-08-29,89.0,68.0,False,True,True,Liaoning Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_06c93bf296df,Hooos public Taobao/Tmall listing index,2026-08-29,34.3,52.0,False,True,True,Dunhuang,True,Figurine / Display,Figurine,Budget (<=50 CNY),29,False,True,True,2,Broad museum collectible assortment
product_da657db8ea96,Hooos public Taobao/Tmall listing index,2026-08-29,69.5,,False,False,True,Palace Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),28,False,True,True,2,Broad museum collectible assortment
product_479cb001101d,Hooos public Taobao/Tmall listing index,2026-08-29,516.0,97.0,False,True,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,High-end (>200 CNY),30,True,True,True,1,Official museum excavation kits
product_bc45181633c1,Hooos public Taobao/Tmall listing index,2026-08-29,25.9,44.0,False,True,False,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,False,True,3,Budget marketplace excavation kits
product_e27fd764b7dc,Hooos public Taobao/Tmall listing index,2026-08-29,78.0,55.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_8b04514a0634,Hooos public Taobao/Tmall listing index,2026-08-29,253.0,,False,False,True,Palace Museum,True,Figurine / Display,Other Blind-box Format,High-end (>200 CNY),30,False,True,False,1,Official museum excavation kits
product_cd2b9af4cc99,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,False,False,1,Official museum excavation kits
product_0a708ff7a107,Hooos public Taobao/Tmall listing index,2026-08-29,516.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,High-end (>200 CNY),30,True,True,True,1,Official museum excavation kits
product_83ae0f561017,Hooos public Taobao/Tmall listing index,2026-08-29,59.0,32.0,False,True,True,Shaanxi History Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),33,False,True,True,4,Premium museum figurines
product_bcca4eab0aad,Hooos public Taobao/Tmall listing index,2026-08-29,69.7,11.0,False,True,True,Henan Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),29,True,True,False,1,Official museum excavation kits
product_ad873374d70f,Hooos public Taobao/Tmall listing index,2026-08-29,78.0,64.0,False,True,True,Sanxingdui,True,Figurine / Display,Other Blind-box Format,Mass Market (51-100 CNY),31,False,True,False,2,Broad museum collectible assortment
product_b0d067bcd851,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,97.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),29,False,True,True,2,Broad museum collectible assortment
product_bb67d646bc97,Hooos public Taobao/Tmall listing index,2026-08-29,59.0,,False,False,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),29,False,True,True,2,Broad museum collectible assortment
